Station,Line,Order of Points,Longitude,Latitude,Traffic,Color,Point Color
Herrera Oria,Linea 9,3,"-3,707629142","40,48458425",1.965.559,#96349b,#96349b
Barrio del Pilar,Linea 9,4,"-3,703108241","40,4762505",4.225.431,#96349b,#96349b
Ventilla,Linea 9,5,"-3,695898463","40,46955802",1.828.377,#96349b,#96349b
Plaza de Castilla,Linea 9,6,"-3,689162512","40,4668494",25.135.236,#96349b,#FFFFFF
Duque de Pastrana,Linea 9,7,"-3,679376056","40,46753382",757.599,#96349b,#96349b
Pío XII,Linea 9,8,"-3,676087989","40,46251995",1.908.982,#96349b,#96349b
Colombia,Linea 9,9,"-3,676944063","40,45730084",8.798.480,#96349b,#FFFFFF
Concha Espina,Linea 9,10,"-3,678319587","40,45037256",2.015.704,#96349b,#96349b
Cruz del Rayo,Linea 9,11,"-3,678233756","40,44423272",1.676.629,#96349b,#96349b
Avenida de América,Linea 9,12,"-3,676670475","40,43809255",35.284.265,#96349b,#FFFFFF
Núñez de Balboa,Linea 9,13,"-3,683196798","40,43284731",7.850.348,#96349b,#FFFFFF
Príncipe de Vergara,Linea 9,14,"-3,679847745","40,4230892",8.324.742,#96349b,#FFFFFF
Ibiza,Linea 9,15,"-3,67810501","40,4183282",2.428.457,#96349b,#96349b
Sainz de Baranda,Linea 9,16,"-3,669791679","40,4147404",9.768.952,#96349b,#FFFFFF
Estrella,Linea 9,17,"-3,661840095","40,41143389",2.531.558,#96349b,#96349b
Vinateros,Linea 9,18,"-3,652784957","40,41032289",2.577.631,#96349b,#96349b
Artilleros,Linea 9,19,"-3,641798629","40,40509442",3.267.306,#96349b,#96349b
Pavones,Linea 9,20,"-3,635146751","40,40061722",2.736.802,#96349b,#96349b
Valdebernardo,Linea 9,21,"-3,621553966","40,40002717",2.567.757,#96349b,#96349b
Vicálvaro,Linea 9,22,"-3,608936855","40,40421029",2.235.714,#96349b,#96349b
San Cipriano,Linea 9,23,"-3,603701183","40,40388349",1.171.851,#96349b,#96349b
Puerta de Arganda,Linea 9,24,"-3,577580403","40,38825191",5.863.526,#96349b,#96349b
Hospital Infanta Sofía,Linea 10,1,"-3,611303047","40,55983791",1.415.716,#074d9b,#074d9b
Reyes Católicos,Linea 10,2,"-3,623442589","40,55034268",1.022.007,#074d9b,#074d9b
Baunatal,Linea 10,3,"-3,635287224","40,55436197",961.340,#074d9b,#074d9b
Manuel de Falla,Linea 10,4,"-3,646960198","40,55048167",1.067.454,#074d9b,#074d9b
Marqués de la Valdavia,Linea 10,5,"-3,637390076","40,54108976",1.793.503,#074d9b,#074d9b
La Moraleja,Linea 10,6,"-3,635501801","40,53192485",1.298.682,#074d9b,#074d9b
La Granja,Linea 10,7,"-3,658631887","40,52765182",812.668,#074d9b,#074d9b
Ronda de la Comunicación,Linea 10,8,"-3,66284914","40,51567934",445.968,#074d9b,#074d9b
Las Tablas,Linea 10,9,"-3,669415187","40,5082077",2.243.167,#074d9b,#074d9b
Montecarmelo,Linea 10,10,"-3,695902925","40,50528733",1.497.868,#074d9b,#074d9b
Tres Olivos,Linea 10,11,"-3,694357972","40,50089838",7.678.416,#074d9b,#074d9b
Fuencarral,Linea 10,12,"-3,693221157","40,49503942",2.109.309,#074d9b,#074d9b
Begoña,Linea 10,13,"-3,685761032","40,48046924",4.943.875,#074d9b,#074d9b
Chamartín,Linea 10,14,"-3,682768126","40,47213836",8.797.197,#074d9b,#FFFFFF
Plaza de Castilla,Linea 10,15,"-3,689162512","40,4668494",25.135.236,#074d9b,#FFFFFF
Cuzco,Linea 10,16,"-3,689887193","40,45826738",4.384.009,#074d9b,#074d9b
Santiago Bernabéu,Linea 10,17,"-3,690702584","40,45216092",4.784.869,#074d9b,#074d9b
Nuevos Ministerios,Linea 10,18,"-3,691982249","40,44664658",29.885.885,#074d9b,#FFFFFF
Gregorio Marañón,Linea 10,19,"-3,691192415","40,43807472",17.670.735,#074d9b,#FFFFFF
Alonso Martínez,Linea 10,20,"-3,695911679","40,427781",18.832.974,#074d9b,#FFFFFF
Tribunal,Linea 10,21,"-3,70116243","40,42613342",13.521.895,#074d9b,#FFFFFF
Plaza de España,Linea 10,22,"-3,710927396","40,42369283",17.006.552,#074d9b,#FFFFFF
Principe Pío,Linea 10,23,"-3,71940932","40,4215879",32.191.729,#074d9b,#074d9b
Lago,Linea 10,24,"-3,734850338","40,41649073",1.580.090,#074d9b,#074d9b
Batán,Linea 10,25,"-3,753003529","40,40766826",2.761.043,#074d9b,#074d9b
Casa de Campo,Linea 10,26,"-3,76100355","40,40322022",7.956.621,#074d9b,#FFFFFF
Colonia Jardín,Linea 10,27,"-3,774847439","40,3972105",7.775.374,#074d9b,#074d9b
Aviación Española,Linea 10,28,"-3,78387852","40,38375966",2.164.440,#074d9b,#074d9b
Cuatro Vientos,Linea 10,29,"-3,790830806","40,37771182",2.661.058,#074d9b,#074d9b
Joaquín Vilumbrales,Linea 10,30,"-3,807594439","40,34969638",2.132.029,#074d9b,#074d9b
Puerta del Sur,Linea 10,31,"-3,812272211","40,34518279",9.279.478,#074d9b,#FFFFFF
Plaza Elíptica,Linea 11,1,"-3,718381091","40,38449275",16.365.931,#10ae4e,#FFFFFF
Abrantes,Linea 11,2,"-3,728294283","40,38058188",1.278.061,#10ae4e,#10ae4e
Pan Bendito,Linea 11,3,"-3,734388262","40,3758742",845.508,#10ae4e,#10ae4e
San Francisco,Linea 11,4,"-3,739701628","40,37374797",1.593.949,#10ae4e,#10ae4e
Carabanchel Alto,Linea 11,5,"-3,751846671","40,37208053",1.602.522,#10ae4e,#10ae4e
La Peseta,Linea 11,6,"-3,757339835","40,36325224",1.314.439,#10ae4e,#10ae4e
La Fortuna,Linea 11,7,"-3,777716821","40,35807336",1.010.654,#10ae4e,#10ae4e
Puerta del Sur,Linea 12,1,"-3,812272211","40,34518279",9.279.478,#af9a1e,#FFFFFF
Parque Lisboa,Linea 12,2,"-3,821173702","40,34970814",1.641.098,#af9a1e,#af9a1e
Alcorcón Central,Linea 12,3,"-3,832117115","40,35023144",2.948.869,#af9a1e,#af9a1e
Parque Oeste,Linea 12,4,"-3,849326168","40,34601225",1.646.062,#af9a1e,#af9a1e
Universidad Rey Juan Carlos,Linea 12,5,"-3,872114216","40,33475981",1.818.444,#af9a1e,#af9a1e
Móstoles Central,Linea 12,6,"-3,864131962","40,32860942",3.156.797,#af9a1e,#af9a1e
Pradillo,Linea 12,7,"-3,864646946","40,32150961",2.298.067,#af9a1e,#af9a1e
Hospital de Móstoles,Linea 12,8,"-3,874646221","40,31637241",2.148.128,#af9a1e,#af9a1e
Manuela Malasaña,Linea 12,9,"-3,864003216","40,30897678",1.104.940,#af9a1e,#af9a1e
Loranca,Linea 12,10,"-3,837545586","40,29642607",1.831.020,#af9a1e,#af9a1e
Hospital de Fuenlabrada,Linea 12,11,"-3,816651978","40,28571471",1.423.892,#af9a1e,#af9a1e
Parque Europa,Linea 12,12,"-3,806051888","40,2850927",1.238.822,#af9a1e,#af9a1e
Fuenlabrada Central,Linea 12,13,"-3,798799195","40,28263735",2.664.753,#af9a1e,#af9a1e
Parque de los Estados,Linea 12,14,"-3,787373234","40,28659861",1.485.725,#af9a1e,#af9a1e
Arroyo Culebro,Linea 12,15,"-3,756823261","40,28898427",426.250,#af9a1e,#af9a1e
Conservatorio,Linea 12,16,"-3,74613734","40,29346889",1.227.073,#af9a1e,#af9a1e
Alonso de Mendoza,Linea 12,17,"-3,736383132","40,30080076",1.414.695,#af9a1e,#af9a1e
Getafe Central,Linea 12,18,"-3,733293227","40,30989903",4.289.802,#af9a1e,#af9a1e
Juan de la Cierva,Linea 12,19,"-3,722435645","40,31176435",2.775.456,#af9a1e,#af9a1e
El Casar,Linea 12,20,"-3,709689788","40,3185707",2.435.264,#af9a1e,#af9a1e
Los Espartales,Linea 12,21,"-3,718084615","40,32427584",966.190,#af9a1e,#af9a1e
El Bercial,Linea 12,22,"-3,729757589","40,32928157",1.040.043,#af9a1e,#af9a1e
El Carrascal,Linea 12,23,"-3,740162613","40,33673743",2.457.703,#af9a1e,#af9a1e
Julián Besteiro,Linea 12,24,"-3,752479316","40,33453117",1.907.942,#af9a1e,#af9a1e
Casa del Reloj,Linea 12,25,"-3,759498447","40,32654275",1.775.659,#af9a1e,#af9a1e
Hospital Severo Ochoa,Linea 12,26,"-3,768687361","40,32178703",1.277.841,#af9a1e,#af9a1e
Leganés Central,Linea 12,27,"-3,771458787","40,32852952",3.122.976,#af9a1e,#af9a1e
San Nicasio,Linea 12,28,"-3,775814695","40,336152",1.825.184,#af9a1e,#af9a1e
Puerta del Sur,Linea 12,29,"-3,812272211","40,34518279",9.279.478,#af9a1e,#FFFFFF
